"title,""price"",""link"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 10 х 5 х 76 АС6 80/63 М1-01,""420,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-200-kh-10-kh-5-kh-76-as6-8063-m101.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 20 х 5 х 76 АС4 100/80 100% В2-01 270 карат (Полтава),""1 740,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-200-kh-20-kh-5-kh-76-as4-10080-100-v201-270-karat-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 20 х 5 х 76 АС4 100/80 В2-01 Базис (Полтава),""1 680,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-200-h-20-h-5-h-76-as4-100-80-v2-01-bazis-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 20 х 5 х 76 АС4 80/63 100% В2-01 270 карата (Інстайл),""1 422,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-200-kh-20-kh-5-kh-76-as4-8063-100-v201-270-karata-nstajjl.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 20 х 5 х 76 АС4 125/100 100% В2-01 270 карата (Полтава),""1 740,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-200-h-20-h-5-h-76-as4-125100-100-v2-01-270-karata-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 20 х 5 х 76 АС4 125/100 В2-01 Базис (Полтава),""1 680,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-200-h-20-h-5-h-76-as4-125-100-v2-01-bazis-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 20 х 5 х 76 АС6 60/40 М3-17,""660,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-200-kh-20-kh-5-kh-76-as6-6040-m317.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 20 х 5 х 76 АС6 80/63 М1-01 270 карат,""540,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-200-kh-20-kh-5-kh-76-as6-8063-m101-270-karat.html"""
"Круг алмазный плоский ПП 1А1 Ф 250 х 15 х 5 х 76 АС4 125/100 100% В2-01 254 карат (Полтава),""2 040,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-250-h-15-h-5-h-76-as4-125-100-100-v2-01-254-karat-poltava.html"""
"Круг алмазный плоский ПП 1А1 Ф 250 х 15 х 5 х 76 АСН 5/3 100% В2-01 254 карат (Полтава),""1 140,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-250-kh-15-kh-5-kh-76-as4-125100-100-v201-254-karat-poltava.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 6 х 6 х 2 (2720-0181) АС2 100/80,""18,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-6-kh-6-kh-2-27200181-as2-10080.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 6 х 6 х 2 (2720-0181) АС4 100/80,""18,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-6-kh-6-kh-2-27200181-as4-10080.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 6 х 6 х 2 (2720-0181) АС4 63/50,""18,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-6-kh-6-kh-2-27200181-as4-6350.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 6 х 6 х 2 (2720-0181) АС4 80/63,""18,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-6-kh-6-kh-2-27200181-as4-8063.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 6 х 6 х 2 (2720-0181) АС5 80/63,""18,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-6-kh-6-kh-2-27200181-as5-8063.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 6 х 6 х 2 (2720-0181) АС6 100/80,""18,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-6-kh-6-kh-2-27200181-as6-10080.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 8 х 6 х 3 (2720-0182) АС4 63/50,""21,60 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-8-kh-6-kh-3-27200182-as4-6350.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 8 х 6 х 3 (2720-0182) АС4 80/63,""21,60 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-8-kh-6-kh-3-27200182-as4-8063.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 8 х 6 х 3 (2720-0182) АС5 100/80,""21,60 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-8-kh-6-kh-3-27200182-as5-10080.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 8 х 10 х 3 (2720-0183) АС4 100/80,""24,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-8-kh-10-kh-3-27200183-as4-10080.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 8 х 10 х 3 (2720-0183) АС4 125/100,""24,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-8-kh-10-kh-3-27200183-as4-125100.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 8 х 10 х 3 (2720-0183) АС4 80/63,""24,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-8-kh-10-kh-3-27200183-as4-8063.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 8 х 10 х 3 (2720-0183) АС6 125/100,""26,40 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-8-kh-10-kh-3-27200183-as6-125100.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 8 х 10 х 3 (2720-0183) АС6 80/63,""22,80 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-8-kh-10-kh-3-27200183-as6-8063.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 10 х 6 х 4 (2720-0184) АС6 100/80,""24,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-10-kh-6-kh-4-27200184-as6-10080.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 10 х 10 х 4 (2720-0185) АС4 80/63,""33,60 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-10-kh-10-kh-4-27200185-as4-8063.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 10 х 10 х 4 (2720-0185) АС5 80/63,""36,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-10-kh-10-kh-4-27200185-as5-8063.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 10 х 10 х 4 (2720-0185) АС6 100/80,""34,80 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-10-kh-10-kh-4-27200185-as6-10080.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 13 х 6 х 4 (2720-0186) АС2 80/63,""42,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-13-kh-6-kh-4-27200186-as2-8063.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 13 х 6 х 4 (2720-0186) АС4 80/63,""45,60 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-13-kh-6-kh-4-27200186-as4-8063.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 13 х 10 х 4 (2720-0187) АС2 80/63,""48,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-13-kh-10-kh-4-27200187-as2-8063.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 13 х 10 х 4 (2720-0187) АС4 100/80,""48,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-13-kh-10-kh-4-27200187-as4-10080.html"""
"Круг алмазный плоский ПП без корпуса (форма А8) Ф 13 х 10 х 4 (2720-0187) АС6 100/80,""48,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-bez-korpusa-forma-a8-f-13-kh-10-kh-4-27200187-as6-10080.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х10х3х32 АС4 160/125 В2-01 Базис (Полтава),""492,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-150h40h10h3h32-as4-160125-v2-01-bazis-poltava.html"""
"Круг алмазный чашечный конический 12А2-45 Ф 150х40х20х3х32 АС4 125/100 100% В2-01 108 карат (Полтава, Diamond),""822,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-chashechnyj-konicheskij-12a2-45-f-150h40h20h3h32-as4-125-100-100-v2-01-108-karat-poltava-diamond.html"""
"Круг алмазный плоский формы 1FF1 Ф 125 х 4 х 2 х 4 х 32 R2 100/80 В2-01,""228,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-formy-1ff1-f-125-h-4-h-2-h-4-h-32-r2-100-80-v2-01.html"""
"Круг алмазный плоский формы 1FF1 Ф 125 х 4 х 2 х 4 х 32 R2 125/100 В2-01,""240,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-formy-1ff1-f-125-h-4-h-2-h-4-h-32-r2-125-100-v2-01.html"""
"Круг алмазный плоский формы 1FF1 Ф 125 х 6 х 3 х 4 х 32 R3 100/80 В2-01,""240,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-formy-1ff1-f-125-h-6-h-3-h-4-h-32-r3-100-80-v2-01.html"""
"Круг алмазный плоский формы 1FF1 Ф 125 х 8 х 4 х 4 х 32 R4 100/80 В2-01,""300,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-formy-1ff1-f-125-h-8-h-4-h-4-h-32-r4-100-80-v2-01.html"""
"Круг алмазный плоский ПП 1А1 Ф 32 х 10 х 3 х 10 АС4 100/80 100% В2-01,""54,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-32-kh-10-kh-3-kh-10-as4-10080-100-v201.html"""
"Круг алмазный плоский ПП 1А1 Ф 32 х 10 х 3 х 10 АС5 160/125 100% В2-01,""54,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-32-kh-10-kh-3-kh-10-as5-160125-100-v201.html"""
"Круг алмазный плоский ПП 1А1 Ф 150 х 20 х 3 х 32 АС4 80/63 100% В2-01 Базис (Полтава, Diamond),""786,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-150-h-20-h-3-h-32-as4-80-63-100-v2-01-bazis-poltava-diamond.html"""
"Круг алмазный плоский ПП 1А1 Ф 200 х 10 х 5 х 76 АС4 125/100 100% В2-01 135 карат (Інстайл),""900,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyjj-ploskijj-pp-1a1-f-200-kh-10-kh-5-kh-76-as4-125100-100-v201-135-karat-nstajjl.html"""
"Круг алмазный плоский ПП 1А1 Ф 300 х 20 х 5 х 76 АС 50/40 В2-01 402,5 карат,""1 680,00 грн"",""https://www.instrument.co.ua/products/krug-almaznyj-ploskij-pp-1a1-f-300-h-20-h-5-h-76-as-50-40-v2-01-402-5-karat.html"""
